index,Player,Year of Birth,G,WS,Seasons,WS/Season,Time line adjusted,Career Value,Three Best Years,5 year Total WS,Total
3246,Brian Brunkhorst,1946.0,3.0,0.2,0.036585365853658534,5.466666666666668,14.6,0.039968025579536375,0.2,,
3247,Jabari Bird,1995.0,13.0,0.2,0.15853658536585366,1.2615384615384615,19.5,0.039968025579536375,0.2,,
3248,JaJuan Johnson,1990.0,36.0,0.2,0.43902439024390244,0.4555555555555556,19.0,0.039968025579536375,0.2,,
3249,Torraye Braggs,1977.0,22.0,0.2,0.2682926829268293,0.7454545454545455,17.7,0.039968025579536375,0.1,,
3250,Jack Rocker,1923.0,9.0,0.2,0.10975609756097561,1.8222222222222224,12.3,0.039968025579536375,0.2,,
3251,Jarrod Uthoff,1994.0,9.0,0.2,0.10975609756097561,1.8222222222222224,19.4,0.039968025579536375,0.2,,
3252,Tom Patterson,1949.0,25.0,0.2,0.3048780487804878,0.656,14.9,0.039968025579536375,0.1,,
3253,Ruben Boumtje-Boumtje,1979.0,44.0,0.2,0.5365853658536586,0.37272727272727274,17.9,0.039968025579536375,0.06666666666666667,,
3254,Ruben Nembhard,1973.0,10.0,0.2,0.12195121951219512,1.6400000000000001,17.3,0.039968025579536375,0.2,,
3255,Tony Mitchell,1993.0,21.0,0.2,0.25609756097560976,0.780952380952381,19.3,0.039968025579536375,0.2,,
3256,Randy Allen,1965.0,70.0,0.2,0.8536585365853658,0.2342857142857143,16.5,0.039968025579536375,0.1,,
3257,Dwayne Morton,1972.0,41.0,0.2,0.5,0.4,17.2,0.039968025579536375,0.2,,
3258,Sasha Kaun,1986.0,25.0,0.2,0.3048780487804878,0.656,18.6,0.039968025579536375,0.2,,
3259,Chris Jent,1970.0,6.0,0.2,0.07317073170731707,2.733333333333334,17.0,0.039968025579536375,0.1,,
3260,Jackie Ridgle,1949.0,32.0,0.2,0.3902439024390244,0.5125,14.9,0.039968025579536375,0.2,,
3261,Lawrence Boston,1957.0,13.0,0.2,0.15853658536585366,1.2615384615384615,15.7,0.039968025579536375,0.2,,
3262,Bonzie Colson,1996.0,8.0,0.2,0.0975609756097561,2.05,19.6,0.039968025579536375,0.2,,
3263,Stanley Jackson,1971.0,17.0,0.2,0.2073170731707317,0.9647058823529413,17.1,0.039968025579536375,0.2,,
3264,Duncan Robinson,1995.0,15.0,0.2,0.18292682926829268,1.0933333333333335,19.5,0.039968025579536375,0.2,,
3265,Boniface N'Dong,1978.0,23.0,0.2,0.2804878048780488,0.7130434782608696,17.8,0.039968025579536375,0.2,,
3266,Terry Thomas,1954.0,28.0,0.2,0.34146341463414637,0.5857142857142857,15.4,0.039968025579536375,0.2,,
3267,Tim Young,1977.0,25.0,0.2,0.3048780487804878,0.656,17.7,0.039968025579536375,0.2,,
